id,name,price,description
561,Buick,1298.0,Ameliorated bottom-line portal
562,Ford,9143.84,Implemented context-sensitive utilisation
563,Volvo,511.5,Enterprise-wide well-modulated superstructure
564,Lexus,5939.76,Diverse multi-tasking collaboration
565,Volvo,961.55,Public-key coherent application
566,Jeep,5158.73,Reverse-engineered holistic access
567,Acura,9824.36,Secured full-range encoding
568,Chevrolet,3378.5,Extended bandwidth-monitored interface
569,Pontiac,3480.33,Decentralized maximized paradigm
570,Volkswagen,5307.06,Streamlined tangible secured line
571,Mazda,6911.01,User-centric homogeneous hub
572,Nissan,1287.42,Right-sized client-server software
573,Chrysler,4651.96,Upgradable web-enabled success
574,Toyota,5149.23,Progressive local pricing structure
575,Pontiac,5346.71,Fully-configurable multi-state open system
576,GMC,3394.23,Function-based cohesive toolset
577,Chevrolet,3373.52,Future-proofed grid-enabled hierarchy
578,Mazda,1122.6,Decentralized dedicated adapter
579,Ford,8803.46,Ergonomic regional pricing structure
580,Infiniti,1546.56,Business-focused asynchronous service-desk
581,Ford,6560.97,Horizontal reciprocal encryption
582,Saab,6461.2,De-engineered interactive application
583,Volvo,3127.76,User-friendly client-server emulation
584,Acura,3839.14,Innovative grid-enabled productivity
585,Mercedes-Benz,2444.66,User-centric didactic emulation
586,Nissan,4138.99,Realigned transitional methodology
587,Dodge,7918.93,Innovative full-range structure
588,Porsche,298.63,Secured heuristic middleware
589,Subaru,7959.92,Customizable human-resource portal
590,Suzuki,5897.52,Face to face bifurcated toolset
591,Mercedes-Benz,9383.22,Robust coherent ability
592,Honda,6234.63,Ergonomic object-oriented task-force
593,Oldsmobile,7703.57,Profound systemic local area network
594,Oldsmobile,1308.4,Horizontal multi-tasking middleware
595,Ford,3019.69,Optional high-level conglomeration
596,Land Rover,6578.65,Upgradable exuding definition
597,Lincoln,2344.66,De-engineered logistical task-force
598,Chevrolet,7170.64,Polarised demand-driven collaboration
599,Plymouth,9419.16,Streamlined holistic knowledge base
600,Ford,2966.2,De-engineered neutral structure
601,Bentley,3291.99,Balanced multimedia hardware
602,Mercury,6040.61,Right-sized 5th generation service-desk
603,Chevrolet,9954.69,User-friendly modular moderator
604,Chevrolet,8913.58,Digitized impactful time-frame
605,Audi,7508.3,Synergized didactic hub
606,Lexus,8463.08,Open-architected 3rd generation concept
607,Mitsubishi,3205.21,Exclusive disintermediate secured line
608,Ford,8848.14,Networked disintermediate artificial intelligence
609,Audi,1870.65,Implemented radical neural-net
610,Toyota,9626.24,Ergonomic demand-driven model
611,Mitsubishi,8796.0,Implemented even-keeled neural-net
612,Volkswagen,1911.82,Persistent static Graphic Interface
613,Audi,4104.02,Grass-roots 24 hour open system
614,Mercury,4472.89,Centralized encompassing artificial intelligence
615,Toyota,7182.79,Stand-alone cohesive knowledge base
616,GMC,861.03,Sharable logistical matrices
617,Dodge,22.48,Synergized bifurcated throughput
618,Toyota,974.27,User-friendly foreground focus group
619,Suzuki,4680.7,Reduced bifurcated monitoring
620,Toyota,8275.09,Programmable 24/7 algorithm
621,Dodge,6076.82,Cross-platform zero tolerance encryption
622,Acura,5881.12,Right-sized radical projection
623,Toyota,686.41,Progressive non-volatile projection
624,Ford,6349.67,Optimized upward-trending matrices
625,Mazda,2401.12,Fundamental discrete infrastructure
626,Honda,3797.43,Universal high-level collaboration
627,Dodge,4558.92,Profound user-facing open architecture
628,Ford,4446.36,Fully-configurable object-oriented definition
629,Buick,7341.74,Digitized mission-critical pricing structure
630,Ford,9773.59,Progressive systemic capability
631,Mitsubishi,7640.0,Open-architected web-enabled moratorium
632,Plymouth,4774.87,Polarised multimedia migration
633,Buick,7709.89,Re-contextualized methodical productivity
634,Mitsubishi,6547.24,Optional 24 hour conglomeration
635,Pontiac,7788.61,Virtual zero defect Graphical User Interface
636,Chevrolet,4805.76,Organized national synergy
637,Dodge,1222.25,Switchable cohesive budgetary management
638,Ford,8481.15,Multi-tiered value-added toolset
639,Mazda,1648.98,Optimized national middleware
640,Pontiac,107.06,Advanced client-server info-mediaries
641,Cadillac,202.47,Seamless secondary installation
642,Honda,4127.5,Synergistic tangible forecast
643,Saturn,6628.47,Balanced local capability
644,Chevrolet,5338.11,Re-engineered eco-centric challenge
645,Mercedes-Benz,6048.97,Face to face client-server task-force
646,Ford,8141.34,Realigned 3rd generation framework
647,Volvo,8562.06,Triple-buffered motivating portal
648,Cadillac,3514.22,Multi-channelled fresh-thinking superstructure
649,Chrysler,7762.0,Balanced upward-trending productivity
650,Buick,2474.67,Multi-channelled 3rd generation concept
651,Honda,11.92,Switchable real-time intranet
652,GMC,4280.8,Exclusive clear-thinking monitoring
653,Lexus,8077.19,Monitored 6th generation workforce
654,Volkswagen,3853.17,Operative even-keeled system engine
655,Toyota,5009.99,Digitized mobile challenge
656,Hyundai,6464.06,Realigned discrete projection
657,Nissan,4826.03,Cloned 24 hour circuit
658,Toyota,2773.01,Cross-platform scalable attitude
659,Mercury,2737.46,Switchable full-range protocol
660,Ford,474.44,Stand-alone optimizing emulation
661,Mitsubishi,5821.16,Polarised object-oriented paradigm
662,Corbin,5257.64,Cross-group dedicated conglomeration
663,Bentley,8133.71,Fully-configurable encompassing middleware
664,Volkswagen,5387.5,Virtual modular frame
665,GMC,8438.3,Persistent actuating monitoring
666,Suzuki,7209.2,Fundamental holistic standardization
667,Jaguar,3883.42,Versatile heuristic circuit
668,Suzuki,714.37,Focused clear-thinking core
669,Pontiac,102.02,Organic human-resource toolset
670,Ford,5088.78,Cross-platform mobile migration
671,Cadillac,3047.78,Business-focused needs-based help-desk
672,Lotus,9592.6,Organic contextually-based toolset
673,Dodge,8395.93,Cross-platform analyzing strategy
674,Lamborghini,7499.35,Monitored grid-enabled budgetary management
675,Toyota,1277.85,Mandatory bi-directional info-mediaries
676,Cadillac,5903.37,User-friendly disintermediate synergy
677,Hyundai,2555.29,Cross-group impactful function
678,Maserati,1235.54,User-friendly methodical alliance
679,Mercury,7728.52,Operative system-worthy product
680,Mazda,1697.55,Progressive explicit alliance
681,Subaru,6182.29,Persevering mobile parallelism
682,Mazda,8393.67,Managed non-volatile solution
683,Chrysler,5687.55,Devolved 5th generation help-desk
684,Chevrolet,2291.45,Down-sized coherent adapter
685,Dodge,2248.49,Multi-layered systemic contingency
686,Volvo,9908.59,Advanced uniform migration
687,Aston Martin,4190.69,Extended responsive architecture
688,Mercedes-Benz,6805.04,Ergonomic incremental encoding
689,Lotus,3211.99,Right-sized stable circuit
690,Nissan,6024.92,Managed real-time installation
691,Mitsubishi,4963.12,Enhanced stable knowledge user
692,Saab,1326.87,Re-contextualized explicit protocol
693,Suzuki,3286.89,Compatible asynchronous open system
694,Mazda,4025.9,Customer-focused 24/7 extranet
695,Ford,6151.87,Re-engineered coherent protocol
696,Mercedes-Benz,8207.89,Seamless solution-oriented algorithm
697,Mazda,5028.7,Enhanced zero defect neural-net
698,Cadillac,4949.56,Quality-focused systemic standardization
699,Chevrolet,8548.9,Open-architected even-keeled throughput
700,GMC,746.96,Exclusive scalable architecture
701,Ford,6847.51,Inverse interactive adapter
702,Buick,3319.68,Profound well-modulated internet solution
703,Volvo,8654.49,Customizable needs-based frame
704,Toyota,1833.9,Digitized fresh-thinking hierarchy
705,Chevrolet,3452.62,Organized logistical utilisation
706,Aston Martin,532.03,Multi-channelled client-driven algorithm
707,Lincoln,6420.58,Switchable fault-tolerant challenge
708,Land Rover,2199.54,Progressive asynchronous challenge
709,Nissan,4347.97,Quality-focused regional frame
710,Mercedes-Benz,591.19,Implemented non-volatile Graphical User Interface
711,Pontiac,631.53,Enterprise-wide encompassing Graphic Interface
712,Chevrolet,2002.56,Intuitive content-based throughput
713,Infiniti,1175.84,Diverse multi-state system engine
714,Pontiac,5716.1,Up-sized clear-thinking productivity
715,Dodge,5367.35,Fundamental asynchronous middleware
716,Chevrolet,1984.59,Ergonomic tertiary complexity
717,Pontiac,5054.81,Reactive incremental internet solution
718,Mercury,8752.61,Mandatory tertiary array
719,Ford,755.36,Multi-layered 24 hour algorithm
720,Lincoln,9105.63,Virtual demand-driven alliance
721,Nissan,7966.63,Enhanced tangible toolset
722,Cadillac,3132.14,Adaptive secondary process improvement
723,Chevrolet,5537.71,Quality-focused 24 hour product
724,Honda,538.3,Networked context-sensitive structure
725,Audi,792.67,Monitored hybrid matrices
726,Lexus,3425.28,Operative 24/7 help-desk
727,Suzuki,4510.01,De-engineered bottom-line approach
728,Ford,1050.6,Reduced zero defect process improvement
729,Honda,3739.98,User-friendly tangible structure
730,Chevrolet,5221.12,Multi-channelled methodical artificial intelligence
731,Chrysler,391.89,Pre-emptive attitude-oriented software
732,Porsche,2412.39,Front-line homogeneous database
733,Buick,6960.01,Robust encompassing budgetary management
734,Lexus,4262.8,Multi-lateral value-added toolset
735,GMC,6272.84,Reverse-engineered 5th generation instruction set
736,Maybach,414.86,Organized neutral adapter
737,Mazda,5326.53,Stand-alone discrete toolset
738,Toyota,3795.43,Decentralized well-modulated complexity
739,BMW,2443.2,Ergonomic eco-centric capability
740,Lincoln,3555.45,Distributed zero administration flexibility
741,Ford,471.93,Sharable needs-based hub
742,Mitsubishi,8118.39,User-centric cohesive project
743,Porsche,2907.73,Decentralized motivating forecast
744,Chevrolet,6886.26,Quality-focused local emulation
745,Isuzu,6129.57,Implemented regional toolset
746,BMW,6471.23,Digitized scalable methodology
747,Mazda,1661.52,Grass-roots stable paradigm
748,BMW,6542.24,Team-oriented intangible intranet
749,Acura,7820.94,Down-sized coherent array
750,Chevrolet,7098.43,Mandatory bottom-line moratorium
751,Cadillac,3145.28,Enterprise-wide methodical task-force
752,Volvo,4454.13,Expanded intangible model
753,Cadillac,8874.29,Realigned client-driven help-desk
754,GMC,1476.03,Proactive high-level portal
755,Audi,5081.07,Reverse-engineered solution-oriented leverage
756,Mercedes-Benz,4531.36,Optimized dynamic budgetary management
757,Hummer,7904.19,Universal mission-critical archive
758,Audi,9872.63,Customer-focused maximized intranet
759,Jeep,2357.36,Balanced didactic toolset
760,GMC,2478.0,Phased local support
761,Honda,4850.52,Upgradable multimedia open system
762,Mercury,5299.74,Versatile non-volatile hardware
763,Jaguar,9134.83,Expanded interactive help-desk
764,Nissan,3036.0,Object-based mobile solution
765,Ford,8849.7,Inverse 24 hour approach
766,Mercedes-Benz,9908.6,Enhanced foreground customer loyalty
767,Chrysler,3581.45,Configurable composite support
768,Pontiac,1385.59,Switchable motivating contingency
769,Toyota,5445.57,Sharable value-added core
770,Mazda,891.52,Focused human-resource emulation
771,Chevrolet,446.72,Cross-group systemic application
772,Isuzu,4503.83,Object-based real-time Graphic Interface
773,Chrysler,8220.16,Innovative 3rd generation support
774,MINI,8574.21,Secured global open architecture
775,Buick,5020.22,Monitored full-range pricing structure
776,Subaru,9330.85,Managed context-sensitive matrix
777,Buick,9413.04,Synchronised asynchronous leverage
778,GMC,5413.44,Centralized dedicated process improvement
779,GMC,5743.6,Synergized dynamic solution
780,GMC,7790.93,Phased upward-trending encoding
781,Mitsubishi,7276.95,Cross-platform cohesive analyzer
782,Hyundai,1862.34,Up-sized 4th generation hub
783,BMW,4566.72,Business-focused explicit local area network
784,Chevrolet,8628.38,Distributed methodical workforce
785,Bugatti,7098.63,Inverse secondary open architecture
786,Mercedes-Benz,1251.59,Reverse-engineered didactic model
787,Jeep,5693.51,Centralized multi-tasking synergy
788,Ford,7954.93,De-engineered bandwidth-monitored attitude
789,Buick,5654.93,Digitized neutral project
790,Oldsmobile,7723.3,Total bifurcated complexity
791,Jeep,9278.2,Automated encompassing hardware
792,Kia,1615.24,Enterprise-wide encompassing help-desk
793,GMC,65.26,Vision-oriented eco-centric utilisation
794,Mercedes-Benz,1670.86,Synchronised foreground policy
795,Isuzu,7352.24,Adaptive 4th generation time-frame
796,Toyota,359.98,Horizontal holistic service-desk
797,Nissan,9438.27,Profound upward-trending process improvement
798,Toyota,157.51,Function-based logistical encryption
799,Oldsmobile,8272.17,Pre-emptive systemic synergy
800,Toyota,121.86,Function-based analyzing functionalities
801,Nissan,1253.51,Multi-layered 24/7 open system
802,Land Rover,9302.18,Decentralized next generation open system
803,GMC,9894.65,Customer-focused client-server function
804,Ford,2818.31,De-engineered transitional matrix
805,Toyota,289.3,Reduced optimal architecture
806,Pontiac,2761.75,User-centric next generation model
807,Volkswagen,3323.52,Implemented contextually-based time-frame
808,Mitsubishi,6475.17,Exclusive content-based portal
809,Pontiac,1764.41,Team-oriented web-enabled secured line
810,Subaru,5300.97,Cross-platform even-keeled project
811,Volkswagen,9077.25,Ameliorated asynchronous framework
812,Land Rover,7959.83,Cloned 5th generation conglomeration
813,Hyundai,4230.25,Pre-emptive object-oriented matrices
814,Dodge,6824.88,Enhanced asynchronous secured line
815,Bentley,16.83,Expanded reciprocal architecture
816,GMC,667.8,Advanced holistic benchmark
817,Lincoln,4289.9,Ergonomic transitional strategy
818,Ford,7140.14,Robust full-range structure
819,Acura,9852.25,Re-engineered heuristic knowledge user
820,Pontiac,8218.09,Public-key fresh-thinking algorithm
821,Cadillac,1424.3,Down-sized 3rd generation groupware
822,GMC,7195.55,Adaptive bandwidth-monitored capacity
823,Toyota,1787.87,Open-architected user-facing firmware
824,Infiniti,9099.39,Robust content-based encoding
825,Dodge,2914.96,Public-key reciprocal toolset
826,Chevrolet,1696.87,Phased fault-tolerant extranet
827,Mitsubishi,3619.39,Realigned optimal hardware
828,Chevrolet,176.49,Triple-buffered global product
829,Ford,7458.54,Multi-tiered 3rd generation approach
830,Chevrolet,5345.08,Ameliorated 24 hour model
831,Buick,9787.05,Front-line holistic archive
832,Tesla,4221.38,Seamless coherent application
833,Chevrolet,5949.13,Public-key modular superstructure
834,Nissan,2366.28,Open-source exuding initiative
835,Mercedes-Benz,1519.04,Extended secondary focus group
836,Lincoln,1009.86,Multi-channelled intermediate emulation
837,Ford,2197.77,Right-sized exuding internet solution
838,BMW,1883.21,Robust client-driven groupware
839,Toyota,7187.05,Down-sized systematic installation
840,Lexus,5468.81,Profound value-added pricing structure
841,GMC,6175.08,Operative logistical website
842,Dodge,5817.22,Cloned 5th generation hierarchy
843,Isuzu,936.63,Quality-focused fault-tolerant alliance
844,Hummer,7935.22,Secured 5th generation Graphical User Interface
845,Mitsubishi,1143.04,Horizontal stable policy
846,Mercedes-Benz,5967.38,Fully-configurable needs-based array
847,Suzuki,3817.91,Profound well-modulated complexity
848,Saturn,7293.36,Right-sized system-worthy neural-net
849,Infiniti,59.56,Vision-oriented bottom-line solution
850,Porsche,8340.17,Reactive eco-centric website
851,Kia,3715.52,Diverse directional time-frame
852,GMC,3937.26,Focused client-driven array
853,Oldsmobile,5577.48,Progressive tertiary application
854,Scion,6123.64,Intuitive mobile protocol
855,Lexus,5521.14,Team-oriented asynchronous parallelism
856,Ford,6707.28,Optional transitional service-desk
857,Isuzu,4852.65,Decentralized intermediate time-frame
858,Acura,8948.88,Centralized client-driven application
859,Saab,5346.11,Up-sized content-based process improvement
860,Pontiac,415.28,Advanced analyzing project
861,Honda,4180.17,Quality-focused leading edge forecast
862,Nissan,5248.24,Pre-emptive web-enabled adapter
863,Mercury,9060.53,Innovative 4th generation service-desk
864,Toyota,8059.61,Organic 24 hour website
865,Mercedes-Benz,5251.78,Decentralized explicit infrastructure
866,Cadillac,2466.16,Enterprise-wide next generation firmware
867,Hyundai,5816.42,Compatible mission-critical open architecture
868,Dodge,2455.05,Synergized multi-tasking model
869,Mercedes-Benz,9635.81,Visionary global contingency
870,Subaru,1880.26,Multi-tiered client-server help-desk
871,Dodge,7020.29,Operative 3rd generation process improvement
872,Nissan,5797.59,Distributed transitional firmware
873,Kia,3132.03,Automated homogeneous approach
874,Jeep,8227.0,Intuitive intangible encryption
875,Ford,6459.94,Reverse-engineered scalable core
876,Volvo,9597.83,Devolved high-level analyzer
877,Ford,4793.61,Versatile asymmetric circuit
878,BMW,6019.88,Secured empowering utilisation
879,Mazda,7230.91,Organized solution-oriented parallelism
880,Toyota,1287.86,Virtual executive matrix
881,Ford,3642.61,Grass-roots impactful challenge
882,Subaru,7649.0,Managed 6th generation challenge
883,Oldsmobile,8230.53,Expanded methodical hierarchy
884,Toyota,9940.55,Distributed content-based flexibility
885,Pontiac,3765.73,Ergonomic motivating artificial intelligence
886,Hyundai,7930.5,Expanded global challenge
887,Chevrolet,3906.45,Sharable maximized attitude
888,Lincoln,3260.82,Managed 3rd generation middleware
889,Ford,3761.7,Synergistic incremental secured line
890,Pontiac,4407.91,Optimized tangible methodology
891,Nissan,5012.41,Progressive systemic function
892,Chevrolet,7297.6,Seamless web-enabled Graphic Interface
893,Infiniti,8735.53,Ergonomic 6th generation initiative
894,Audi,1109.28,Multi-channelled secondary task-force
895,Cadillac,9455.87,Implemented 24/7 access
896,Jaguar,3305.89,Optimized coherent challenge
897,Mercedes-Benz,6047.73,Cross-group uniform productivity
898,Mercury,6217.47,Total incremental adapter
899,GMC,4205.33,Optional mobile neural-net
900,Scion,7369.44,Innovative modular pricing structure
901,Jaguar,6131.77,Enterprise-wide transitional focus group
902,Chrysler,2808.08,Universal incremental groupware
903,Buick,7463.07,Centralized 24/7 budgetary management
904,Suzuki,4403.06,Total radical initiative
905,Nissan,6644.45,Cross-group cohesive capability
906,Maybach,7543.22,Pre-emptive web-enabled moratorium
907,Lexus,7689.72,Horizontal directional data-warehouse
908,Hyundai,3624.14,Realigned user-facing forecast
909,Ford,3942.47,Operative next generation framework
910,Pontiac,6835.3,Ergonomic encompassing pricing structure
911,Mercedes-Benz,7437.98,Streamlined 3rd generation secured line
912,Mitsubishi,3247.57,User-centric asynchronous workforce
913,Mazda,4418.97,Inverse user-facing moratorium
914,Cadillac,1539.24,Synergistic holistic support
915,Lotus,5477.21,Virtual modular Graphic Interface
916,Lexus,776.78,Total local synergy
917,Audi,5805.91,Progressive solution-oriented algorithm
918,Chevrolet,6029.23,Extended eco-centric process improvement
919,Alfa Romeo,5245.21,Automated systematic implementation
920,Cadillac,1548.54,Pre-emptive fresh-thinking moratorium
921,Pontiac,1040.93,Devolved 5th generation instruction set
922,Infiniti,6242.23,Operative coherent support
923,Chrysler,3464.68,Ergonomic 24 hour matrices
924,Mercury,2273.23,Down-sized methodical focus group
925,Honda,1533.48,Quality-focused logistical info-mediaries
926,Audi,7118.56,Operative value-added system engine
927,Chrysler,5176.54,De-engineered zero defect database
928,Chrysler,6843.65,Expanded homogeneous ability
929,Chevrolet,6014.66,Optional contextually-based hardware
930,Mercury,89.91,Progressive disintermediate database
931,Audi,1266.41,Programmable explicit ability
932,Audi,6440.2,Distributed scalable synergy
933,Jeep,6821.1,Visionary intermediate hub
934,Acura,7433.05,Secured empowering parallelism
935,Honda,4521.92,Customizable logistical challenge
936,GMC,9609.87,Profound non-volatile ability
937,Scion,6545.09,Inverse didactic hierarchy
938,Volkswagen,4746.58,Phased radical benchmark
939,Buick,434.66,Upgradable user-facing alliance
940,Mazda,2988.64,Versatile context-sensitive budgetary management
941,GMC,7355.86,Universal exuding challenge
942,Hyundai,4004.49,Reactive motivating Graphic Interface
943,Toyota,8279.39,Monitored coherent framework
944,Mercedes-Benz,325.05,Secured global definition
945,Toyota,8740.63,Multi-tiered motivating protocol
946,Mercury,626.14,Fully-configurable asynchronous structure
947,Acura,9538.15,Switchable regional ability
948,Lotus,3242.74,Configurable next generation algorithm
949,Kia,6139.91,Automated scalable policy
950,Lincoln,8917.98,Assimilated client-server frame
951,Dodge,8325.09,Synergized interactive circuit
952,Mercedes-Benz,8097.85,Focused system-worthy model
953,Nissan,1226.25,User-friendly explicit analyzer
954,Nissan,9881.99,Synergized content-based protocol
955,Dodge,2332.48,Fully-configurable context-sensitive complexity
956,Infiniti,3936.78,Business-focused national hub
957,Toyota,1915.08,Exclusive mission-critical pricing structure
958,Kia,7257.91,Organized full-range middleware
959,Audi,99.72,Profit-focused asynchronous website
960,Eagle,6311.81,Cross-platform fault-tolerant parallelism
961,Volkswagen,9755.54,Up-sized coherent capacity
962,Chevrolet,3341.48,Re-contextualized zero administration data-warehouse
963,Audi,6251.62,Triple-buffered transitional monitoring
964,Pontiac,6386.81,Assimilated responsive complexity
965,Honda,8133.99,Multi-channelled tangible intranet
966,Ford,8383.2,Customizable multi-tasking approach
967,Nissan,9133.98,Managed background protocol
968,Honda,3303.41,De-engineered scalable solution
969,Ford,8541.42,Implemented logistical toolset
970,BMW,990.78,Re-contextualized mission-critical info-mediaries
971,Volkswagen,6620.33,Right-sized intermediate access
972,Mazda,3063.98,Reverse-engineered tertiary application
973,BMW,793.98,Digitized system-worthy firmware
974,Mercedes-Benz,59.33,Business-focused transitional hub
975,Oldsmobile,3957.81,Multi-channelled local frame
976,Pontiac,7589.66,Switchable even-keeled complexity
977,Saturn,2128.13,Multi-lateral national standardization
978,Chevrolet,1159.99,Persistent contextually-based interface
979,Chevrolet,9420.06,Open-architected disintermediate challenge
980,Hyundai,8478.83,Secured encompassing software
981,BMW,3976.93,Centralized contextually-based open system
982,Kia,3483.41,Ergonomic optimal collaboration
983,Ford,3863.6,Virtual maximized task-force
984,GMC,5898.44,Expanded responsive challenge
985,Oldsmobile,933.92,Enhanced demand-driven concept
986,Ford,8606.16,Multi-lateral optimal task-force
987,Mazda,9926.11,De-engineered value-added initiative
988,Ford,7254.19,Synergized object-oriented time-frame
989,Mercury,560.63,Synchronised intermediate capability
990,Ford,9451.04,Mandatory 24/7 projection
991,Infiniti,451.0,Organized analyzing leverage
992,Suzuki,5053.15,Customizable leading edge hardware
993,Lincoln,2788.47,Horizontal logistical challenge
994,Mitsubishi,1526.21,Multi-tiered reciprocal workforce
995,GMC,2219.72,Devolved neutral utilisation
996,Pontiac,4885.2,Devolved secondary approach
997,Suzuki,6149.72,Pre-emptive analyzing adapter
998,Lamborghini,9340.76,Synergized grid-enabled forecast
999,Infiniti,1037.97,Reverse-engineered systematic ability
1000,Subaru,7043.34,Future-proofed homogeneous adapter
